account_id,active_status,current_balance,credit_limit,cash_credit_limit,open_date,expiration_date,reissue_date,current_cycle_credit,current_cycle_debit,postal_code,group_id,customer_id
00000000024,Y,40.00,517.40,412.90,2015-08-08,2025-02-11,2025-02-11,0.00,0.00,A000000000,,24
00000000025,Y,6.10,819.40,658.20,2012-10-26,2025-07-10,2025-07-10,0.00,0.00,A000000000,,25
00000000026,Y,4.60,218.10,137.50,2009-04-20,2024-12-19,2024-12-19,0.00,0.00,A000000000,,26
00000000027,Y,28.40,557.20,207.50,2012-09-30,2025-07-13,2025-07-13,0.00,0.00,A000000000,,27
00000000028,Y,6.80,86.80,54.70,2015-05-20,2024-05-09,2024-05-09,0.00,0.00,A000000000,,28
00000000029,Y,33.90,551.10,436.10,2015-11-03,2024-06-04,2024-06-04,0.00,0.00,A000000000,,29
00000000030,Y,0.20,12.00,9.30,2011-08-26,2024-06-27,2024-06-27,0.00,0.00,A000000000,,30
00000000031,Y,3.10,114.00,107.70,2017-02-25,2025-06-08,2025-06-08,0.00,0.00,A000000000,,31
00000000032,Y,3.00,117.50,84.60,2013-11-10,2025-05-19,2025-05-19,0.00,0.00,A000000000,,32
00000000033,Y,41.00,640.40,95.10,2012-10-11,2025-10-07,2025-10-07,0.00,0.00,A000000000,,33
00000000034,Y,25.30,364.20,277.00,2009-05-10,2025-10-06,2025-10-06,0.00,0.00,A000000000,,34
00000000035,Y,16.60,194.70,152.50,2018-02-02,2025-09-23,2025-09-23,0.00,0.00,A000000000,,35
00000000036,Y,11.00,332.80,83.90,2018-07-18,2024-12-23,2024-12-23,0.00,0.00,A000000000,,36
00000000037,Y,0.70,44.60,16.60,2016-09-10,2023-10-24,2023-10-24,0.00,0.00,A000000000,,37
00000000038,Y,61.20,650.50,347.60,2010-08-12,2023-07-23,2023-07-23,0.00,0.00,A000000000,,38
00000000039,Y,84.30,975.00,621.20,2018-08-26,2025-09-08,2025-09-08,0.00,0.00,A000000000,,39
00000000040,Y,4.30,582.30,167.40,2010-02-13,2023-10-27,2023-10-27,0.00,0.00,A000000000,,40
00000000041,Y,37.50,672.10,342.90,2015-02-07,2023-04-24,2023-04-24,0.00,0.00,A000000000,,41
00000000042,Y,30.20,656.30,510.30,2016-09-19,2025-09-19,2025-09-19,0.00,0.00,A000000000,,42
00000000043,Y,61.00,616.80,120.60,2012-04-09,2025-08-29,2025-08-29,0.00,0.00,A000000000,,43
00000000044,Y,26.30,689.90,443.20,2018-12-01,2024-01-17,2024-01-17,0.00,0.00,A000000000,,44
00000000045,Y,18.60,271.90,68.80,2010-12-31,2025-07-09,2025-07-09,0.00,0.00,A000000000,,45
00000000046,Y,39.60,700.70,543.80,2013-09-06,2025-06-20,2025-06-20,0.00,0.00,A000000000,,46
00000000047,Y,3.20,233.80,15.90,2014-04-03,2025-08-23,2025-08-23,0.00,0.00,A000000000,,47
00000000048,Y,22.60,230.60,61.20,2017-03-18,2025-02-06,2025-02-06,0.00,0.00,A000000000,,48
00000000049,Y,10.00,904.80,480.70,2019-04-06,2023-09-17,2023-09-17,0.00,0.00,A000000000,,49
00000000050,Y,49.20,616.90,458.70,2011-04-22,2023-03-09,2023-03-09,0.00,0.00,A000000000,,50
